Título;Autores;Data de publicação;Editora
A Sonata de Kreutzer;Leon Tolstoi;;
A Sul da Fronteira, A Oeste do Sol;Haruki Murakami;;Editora Casa das Letras
A Sétima Porta;Richard Zimler;2007;
A Taberna;Emílio Zola;;
A Teoria de Tudo - A Origem e o Destino do Universo (Portuguese Edition);HAWKING- STEPHEN;;EDITORA GRADIVA
A Terceira Vaga;Alvin Toffler;;
A Terra e o Cosmos;Isaac Asimov;;
A Testemunha do Holocausto;Grande Reportagem;;
A Trilogia de Nova Iorque;Paul Auster;;
A u?ltima conversa Agostinho da Silva;Agostinho da Silva;1995;Editorial Noti?cias
A Varanda do Frangipani;Mia Couto;;
A Verdade da Guerra;José Rodrigues dos Santos;01/01/2002;
A Verdade vem Depois;Rui Jorge;;
A Verdadeira Vida de Domingos Xavier;José Luandino Vieira;;
A Viagem das Almas;Michael Newton;;
A Vida é Sonho;Calderón De La Barca;;
A Vida é um Cogumelo Verde;Bruno Ferreira;2014;
A Virgem e o Cigano;Lawrence Durrell;;
A Visita do Papa;Alberto Pimenta;;
A Volta ao Mundo em 80 Dias;Júlio Verne;;
A Voz do Mar;Daniel Jorge Da Silva;;
ABC da Culinária;Etelvina Lopes Almeida;;
ABC do Anarquismo;Edgar Rodrigues;;
ABC do Marxismo Leninismo;Edições Avante;;
ABCedario do Islão;Público;;
Aborto O Crime está na Lei;Maria Antónia Fiadeiro;;
Abril Abril;Edições Avante;;
Acerca da Doutrina Militar para Portugal e as suas Forças Armadas;Vasco Gonçalves;;
Acusação e Defesa em Monsanto;Otelo Saraiva De Carvalho;;
Acuso;Emílio Zola;;
Acção Directa;Acção Directa;;
Acção Directa;Anarca;;
Acção Revolucionária, Capitulação e Aventura;Álvaro Cunhal;;
Adezino N°0;O Defeito Do Cromossoma;;
Adivinhas;Editora Ausência;;
Adopta-me;Maria João Lopo De Carvalho;;
Afinal o que sabemos nós?;William Arntz, Betsy Chasse, Mark Vicente;;
Afirma Pereira;Antonio Tabucchi;;
Agenda Anarquista   1990;Atneu Libertário;;
Agonia da Noite;Jorge Amado;;
Agostinho Neto, Sagrada Esperança;Sá Da Costa;;
Agricultura Biológica;Francisco Indrio;;
Ai, Jesus;Sam;;
